total_time_seconds,MAX_NEW_TOKENS,num_tokens_prompt,emmision
6.75,200,5,0.000014
4.89,200,10,0.000013
5.12,200,19,0.000014
5.05,200,32,0.000015
5.32,200,64,0.000017
7.81,200,128,0.000023
6.63,200,256,0.000025
6.39,200,512,0.000027
6.40,200,1024,0.000028
6.54,200,1404,0.000029
