total_time_seconds,N_LAYER,N_HEAD,N_EMBD,BATCH_SIZE,num_params,emission
740.70,4,1,128,32,834432,0.006458
1083.20,4,2,128,32,834432,0.009567
1705.86,4,4,128,32,834432,0.015188
3470.89,4,8,128,32,834432,0.031120
11318.00,4,16,128,32,834432,0.048141
38216.00,4,32,128,32,834432,0.095240
25253.62,4,64,128,32,834432,0.227875
