total_time_seconds,N_LAYER,N_HEAD,N_EMBD,BATCH_SIZE,num_params,emission
67.85,4,4,128,1,834432,0.000549
95.96,4,4,128,2,834432,0.000834
148.90,4,4,128,4,834432,0.001307
253.80,4,4,128,8,834432,0.002255
631.85,4,4,128,16,834432,0.005671
1694.05,4,4,128,32,834432,0.015261
2269.92,4,4,128,64,834432,0.020264
12237.56,4,4,128,128,834432,0.049230
32445.26,4,4,128,256,834432,0.134884
