total_time_seconds,N_LAYER,N_HEAD,N_EMBD,BATCH_SIZE,num_params,emission
470.31,1,4,128,32,239616,0.004196
1016.23,2,4,128,32,437888,0.009142
1553.41,3,4,128,32,636160,0.013990
1276.25,4,4,128,32,834432,0.011484
2003.12,5,4,128,32,1032704,0.018043
2451.52,7,4,128,32,1429248,0.022097
2560.42,8,4,128,32,1627520,0.023077
2926.90,9,4,128,32,1825792,0.026388
5935.24,6,4,128,32,1230976,0.017018
3446.28,10,4,128,32,2024064,0.031074
