total_time_seconds,N_LAYER,N_HEAD,N_EMBD,BATCH_SIZE,num_params,emission
15.92,1,4,128,32,239616,0.000000
17.24,2,4,128,32,437888,0.000000
24.61,3,4,128,32,636160,0.000135
25.13,4,4,128,32,834432,0.000135
39.48,5,4,128,32,1032704,0.000271
68.62,7,4,128,32,1429248,0.000542
80.07,8,4,128,32,1627520,0.000677
54.91,9,4,128,32,1825792,0.000406
70.80,10,4,128,32,2024064,0.000542
84.52,12,4,128,32,2420608,0.000677
